cluster_id	cluster_name	cluster_type	representative_queries	query_count	sku_count	candidate_primary_skus	family_scope	notes
UNCLEAR::467b4c988c	Неясный запрос	unclear	дев	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::46b07ca137	Неясный запрос	unclear	из дерева	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::46fc16be1b	Неясный запрос	unclear	чур	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::48140aeebc	Неясный запрос	unclear	самурайский стиль	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::486fcd2cd0	Неясный запрос	unclear	коз брелок	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::48b4237561	Неясный запрос	unclear	йогиня	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::49b094eebb	Неясный запрос	unclear	талимсаны	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::4a02d2eb73	Неясный запрос	unclear	семургл	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::4b22cf88a2	Неясный запрос	unclear	толстовка велес	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::4b87cb64f4	Неясный запрос	unclear	кулон семергал	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::4ea3c05541	Неясный запрос	unclear	знак атлантов	1	3		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::4f7810dab2	Неясный запрос	unclear	jubyz ; bdf	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::50d7339448	Неясный запрос	unclear	набор для творчества на дев	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::51236eb19a	Неясный запрос	unclear	браслет каловрат	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::51885c4026	Неясный запрос	unclear	аум сенерик	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::528df0b1e8	Неясный запрос	unclear	омулеты	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::53f39e979a	Неясный запрос	unclear	браслет старо словянский	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::5753801ceb	Неясный запрос	unclear	флаг гугнир	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::580e0aa28c	Неясный запрос	unclear	военная атрибутика для мужчины	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::58689c1d67	Неясный запрос	unclear	вибратор для песка	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::5a2238a060	Неясный запрос	unclear	алтырь деревянный большой	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::5e1453983a	Неясный запрос	unclear	бусины деревянные	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::5e9e2089e3	Неясный запрос	unclear	bimbo twins	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::5f31695ad1	Неясный запрос	unclear	энергетик	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6248f92291	Неясный запрос	unclear	для овна мужской	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::627d6b961a	Неясный запрос	unclear	символ чернобог	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6300f80861	Неясный запрос	unclear	распродажа	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::66ac86beae	Неясный запрос	unclear	эзотерика	1	3		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::66b69487f2	Неясный запрос	unclear	магические атрибуты	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6aaaca4c36	Неясный запрос	unclear	бусы японские мужские браслет	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6b5297fb6c	Неясный запрос	unclear	набор	1	7		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6b799541dd	Неясный запрос	unclear	козаки	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6b9ea9e826	Неясный запрос	unclear	кулон близнец	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6c92d4e630	Неясный запрос	unclear	коловратка	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6d0ad48210	Неясный запрос	unclear	цепочка надежная для кулона	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6ed97afb5d	Неясный запрос	unclear	кулоны близницы	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6f884ca63a	Неясный запрос	unclear	береза бусина 8 мм	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::6fbfc0a85d	Неясный запрос	unclear	духи	1	3		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::7146f59841	Неясный запрос	unclear	раки	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::716b489fe6	Неясный запрос	unclear	талесман для рака	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::71b653c23e	Неясный запрос	unclear	валькнут кулон	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::72dab1fec3	Неясный запрос	unclear	платье старосла	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::75a80f4c6f	Неясный запрос	unclear	бусина закон	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::75ced707ad	Неясный запрос	unclear	{value}	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::75ddbf0230	Неясный запрос	unclear	калаврат	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::7690264902	Неясный запрос	unclear	рака ловки	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::7793eb4275	Неясный запрос	unclear	комплект	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::79926c83dc	Неясный запрос	unclear	коловрат cd	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::7c7d6bf8d3	Неясный запрос	unclear	брелок перу	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::83914629f5	Неясный запрос	unclear	набор для творчества	1	6		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::851e930e67	Неясный запрос	unclear	браслет в старо словянский	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::85d1cd38d3	Неясный запрос	unclear	крона	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::86b31beff9	Неясный запрос	unclear	набор декоративных кисточек с бусинами	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::87cae55c26	Неясный запрос	unclear	чернобог	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::8bb1121a22	Неясный запрос	unclear	для для раков	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::8c3f0ba392	Неясный запрос	unclear	браслет на руку водолея	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::8f1b5a9423	Неясный запрос	unclear	русич	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::8f45a1a4f8	Неясный запрос	unclear	копъе	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::8f988b4ea3	Неясный запрос	unclear	берег бог	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::8fb7751c00	Неясный запрос	unclear	бусы для стрельца	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::93fa05c75a	Неясный запрос	unclear	хобби	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::94537ef79f	Неясный запрос	unclear	podveska na salon	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::96869e4e1c	Неясный запрос	unclear	руны	1	9		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9a02ac340e	Неясный запрос	unclear	сварог зн	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9a95bf2147	Неясный запрос	unclear	что - то для девы	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9b7f5f708c	Неясный запрос	unclear	атрибуты с российской символикой	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9bef575f7d	Неясный запрос	unclear	бусины для терм	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9c1cfb46c5	Неясный запрос	unclear	атрибуты дерево природа	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9c91ad164b	Неясный запрос	unclear	бусы знак	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9db82dd755	Неясный запрос	unclear	браслет самурай	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9e83b7b92e	Неясный запрос	unclear	кулон коловрат	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9efdfb8855	Неясный запрос	unclear	бог	1	6		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::9f93863554	Неясный запрос	unclear	вибратор	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a004caad8d	Неясный запрос	unclear	термонаклейка блищнецы	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a01c2e254d	Неясный запрос	unclear	рыба	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a13ec43f20	Неясный запрос	unclear	брелок коло	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a153db22af	Неясный запрос	unclear	день рождения для девы	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a183695769	Неясный запрос	unclear	знак зодика деревянный	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a32ed50ff3	Неясный запрос	unclear	для девы из дерева	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a74c8d357c	Неясный запрос	unclear	копья деревянные	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a968162a98	Неясный запрос	unclear	брелок козерошки	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::a9f29df0a1	Неясный запрос	unclear	задиака знаки	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::aa3ddb0cf7	Неясный запрос	unclear	магия	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::aa669e0529	Неясный запрос	unclear	бог и богиня	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::ab0deec936	Неясный запрос	unclear	подставка близнец	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::ab906b4944	Неясный запрос	unclear	молитвы	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::abf9890bf2	Неясный запрос	unclear	деревянное повеска для мужчин	1	4		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::ae81bc5b12	Неясный запрос	unclear	бусина знаки	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::b13b2bccb9	Неясный запрос	unclear	бусы на зерколо	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::b2e5942dcd	Неясный запрос	unclear	бусины диаметр 1 см	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::b8a7adaa98	Неясный запрос	unclear	мужчине на день рождения	1	8		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::ba1b57d587	Неясный запрос	unclear	вегвезир	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::bbb1f34c63	Неясный запрос	unclear	аум знак	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c0bf432c1c	Неясный запрос	unclear	картина стрибо	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c2cb878802	Неясный запрос	unclear	значок всеслав	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c41cea9f0f	Неясный запрос	unclear	книга чернобог	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c49b37672e	Неясный запрос	unclear	камень для близнецов	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c5f3d2a6d3	Неясный запрос	unclear	знак задиака девы на торт	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c63993b838	Неясный запрос	unclear	набор для близнеца	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::c8e2d3c66e	Неясный запрос	unclear	игрушка лиса инь - ян	1	1	1629553898	SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::ce29905966	Неясный запрос	unclear	мужской кулон рыба	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::cf6515ae0d	Неясный запрос	unclear	браслет для водолея женский	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::cfddf56f10	Неясный запрос	unclear	коза полвеска	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d0302ca2c9	Неясный запрос	unclear	для гадания на песке	1	2		MULTI_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d07840e824	Неясный запрос	unclear	кофта с коловратом	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d136d72f64	Неясный запрос	unclear	по правую руку бога	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d656990b49	Неясный запрос	unclear	бусы коловрат	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d6cc23e3b7	Неясный запрос	unclear	cosaque	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d707ef180b	Неясный запрос	unclear	бусина сила веры	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::d8e0a3f3e6	Неясный запрос	unclear	водоклей	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::da4941eeb7	Неясный запрос	unclear	деревянный амуле	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::dce42a36d8	Неясный запрос	unclear	купить раков	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::de73134950	Неясный запрос	unclear	богиня лада бусина	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::e0c98e992d	Неясный запрос	unclear	бусины символ дерева 8 мм	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
UNCLEAR::e34a1b8c2f	Неясный запрос	unclear	семейный очаг песок	1	1		SINGLE_SKU	Deterministic evidence-derived primary concept; ambiguous queries retain UNCLEAR clusters.
