query_raw	query_normalized	normalization_group_id	normalization_type	normalization_reason
{value}	{value}	QG_75ced707ad79	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
«подвеска в машину обезьяна из дорамы	подвеска в машину обезьяна из дорамы	QG_d3b949f38e82	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
абирег в машину	абирег в машину	QG_f348b0408036	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аварийный знак в машину на липучке вбогажник	аварийный знак в машину на липучке вбогажник	QG_b44fcdbe0a9d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто аксессуары на зеркало	авто аксессуары на зеркало	QG_80cfe24aceda	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто кресло для близнецов	авто кресло для близнецов	QG_5bf36b01bcc5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто подвеска	авто подвеска	QG_3680dae8ce0f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто подвеска в машину	авто подвеска в машину	QG_baaa61fe70a7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто подвеска на зеркало	авто подвеска на зеркало	QG_b8bdb9713ded	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто подвески на зеркало	авто подвески на зеркало	QG_528a1d21397a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто рыба	авто рыба	QG_b02f7dac4f12	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто четки в машину	авто четки в машину	QG_aa9cc970bf6d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авто_стиль	авто стиль	QG_72711e115154	PUNCTUATION	Conservative Unicode/case/whitespace/punctuation normalization only.
автобильные весы	автобильные весы	QG_8e372695050b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиль кулон	автомобиль кулон	QG_a6e07771f9e5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиль кулон на зеркало	автомобиль кулон на зеркало	QG_f73412fa0a88	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиль мар	автомобиль мар	QG_93d0af7651a3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиль мусульманский	автомобиль мусульманский	QG_2ea6b5fa106e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиль, подаренный предкам	автомобиль , подаренный предкам	QG_616929d3d348	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобильная чётки в машину на зеркало	автомобильная четки в машину на зеркало	QG_cf6217e49403	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобильное подвеска оберег	автомобильное подвеска оберег	QG_2c2a887c4e7c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобильные весы	автомобильные весы	QG_f989236760ac	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобильные подвески/декоративные элементы для автомобилей	автомобильные подвески/декоративные элементы для автомобилей	QG_c66413f87eb1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобильные принадлежности э	автомобильные принадлежности э	QG_c3b059fffabf	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобильный талисман оберег на зеркало	автомобильный талисман оберег на зеркало	QG_b1c4be838c00	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиля на зеркало украшение	автомобиля на зеркало украшение	QG_66eb70349d7e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автомобиля подвеска в зеркало	автомобиля подвеска в зеркало	QG_e3025fe64710	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автооберег	автооберег	QG_beb165ae6dde	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автооберег в машину	автооберег в машину	QG_6323d69e1618	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автоподвеска луна	автоподвеска луна	QG_1321ea22ebd4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автоподвеска мужска	автоподвеска мужска	QG_0ea3a32429fb	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
автоподвеска на зеркало авто для женщин	автоподвеска на зеркало авто для женщин	QG_1fbb797974d0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авторская подвеска на зеркало газель	авторская подвеска на зеркало газель	QG_a790361822f5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
авторучка шариковая знаки зодиака	авторучка шариковая знаки зодиака	QG_f602f85c0d6d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
адамас золото знак зодиака	адамас золото знак зодиака	QG_c2d6a0ffd19e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
адидас спаси и сохрани коыту	адидас спаси и сохрани коыту	QG_d9f66de0771a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
адыгейски подвески костюмы на машину	адыгейски подвески костюмы на машину	QG_434f3545a70b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
адыгейские украшения подвески на зеркало для машины	адыгейские украшения подвески на зеркало для машины	QG_075927f8c1e1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
азербайджанские чётки и амулеты на зеркало в машину	азербайджанские четки и амулеты на зеркало в машину	QG_f1134509dcb5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
ак барс брелок в машину на зеркало	ак барс брелок в машину на зеркало	QG_94a5d7fcbe15	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аквамарин подвеска водолей ровновесие	аквамарин подвеска водолей ровновесие	QG_8f2e029ef040	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акомпас в тысячных	акомпас в тысячных	QG_6b9d473a5532	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акриловая бусина машинка	акриловая бусина машинка	QG_e9348e0297aa	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акриловая подвеска в машину на зеркало	акриловая подвеска в машину на зеркало	QG_7d69ad02df25	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акриловая подвеска в машину.	акриловая подвеска в машину	QG_3fd8b5f83d60	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акриловые звезды подвески	акриловые звезды подвески	QG_66d6ff8d023e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акриловые крест	акриловые крест	QG_e1cc53efca7c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
акриловые чётки в машину на зеркало	акриловые четки в машину на зеркало	QG_b46ecdbe99fc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуар в авто на зеркало подвеска	аксессуар в авто на зеркало подвеска	QG_de99e4f64395	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуар в машину женское	аксессуар в машину женское	QG_5e0971fc9f6c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуар для автомобиля на зеркало подвеска	аксессуар для автомобиля на зеркало подвеска	QG_6fdb04bf5bd5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуар на зеркало	аксессуар на зеркало	QG_f0be4f5b7290	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуар узел счастья на зеркало в машину	аксессуар узел счастья на зеркало в машину	QG_90b54c7b2080	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину мужские	аксессуары в машину мужские	QG_daf5dc019a39	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину на зеркало skoda в октаве	аксессуары в машину на зеркало skoda в октаве	QG_525ef1ce3b95	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину на зеркало перчатки кимано	аксессуары в машину на зеркало перчатки кимано	QG_7f3627fd61ae	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину на зеркало подвеска	аксессуары в машину на зеркало подвеска	QG_7a52c40d3689	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину подвесаа зеркал барабан	аксессуары в машину подвесаа зеркал барабан	QG_5e97e28a290f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину подвеска	аксессуары в машину подвеска	QG_1bcfe5dcd4aa	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину подвеска на зеркало	аксессуары в машину подвеска на зеркало	QG_b6b59729fdd2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары в машину подвеска на зеркало скорпион	аксессуары в машину подвеска на зеркало скорпион	QG_278404b2ecba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары вел	аксессуары вел	QG_1d66123dc6ce	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары для авто самурай	аксессуары для авто самурай	QG_1a7ce030ffbb	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары для автомобиля подвеска на зеркало	аксессуары для автомобиля подвеска на зеркало	QG_f7da630a56ba	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары для машины в подарок мужчине подвески на зеркало	аксессуары для машины в подарок мужчине подвески на зеркало	QG_1b576c4c17fa	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары для овна	аксессуары для овна	QG_ca0a39f56aa7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары для стрел	аксессуары для стрел	QG_30f182cfdf03	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары на зеркало в атомобиль	аксессуары на зеркало в атомобиль	QG_1959746b284a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары на машину герб	аксессуары на машину герб	QG_495314d380fd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары салона авто	аксессуары салона авто	QG_004651e0a0e0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары самурая	аксессуары самурая	QG_17020d89b439	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары славян	аксессуары славян	QG_24406736d597	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аксессуары славянские	аксессуары славянские	QG_4063a6c8c3af	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь	алатырь	QG_3088a7735529	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь агат	алатырь агат	QG_4448bed3af68	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь амулет мужской	алатырь амулет мужской	QG_d1bef17bf2cd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь бляшка	алатырь бляшка	QG_c47390c9a677	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь большой	алатырь большой	QG_ca1f5e5f9e58	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь в машину	алатырь в машину	QG_5708c28c7a9c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь в солнце	алатырь в солнце	QG_44e7feb37731	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь закладка	алатырь закладка	QG_32e115dbb36f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь из дуба	алатырь из дуба	QG_5c50716ce9fd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь из золота	алатырь из золота	QG_f8126a8203d3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь кгига	алатырь кгига	QG_f680dd07a179	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь оберег в машину	алатырь оберег в машину	QG_f9f8a0d544f6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь п	алатырь п	QG_d261e2fe7fcc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь подве	алатырь подве	QG_a5f7f6bf1fee	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь пьютер	алатырь пьютер	QG_d98ec2e2e079	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь талисман	алатырь талисман	QG_ccb0cdb6282c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алатырь штамп	алатырь штамп	QG_5493bed3bdff	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алимпийская мишка брелок в машину подвеска	алимпийская мишка брелок в машину подвеска	QG_ba0285fb3955	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алтырь деревянный большой	алтырь деревянный большой	QG_5a2238a06097	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
алтырь славянских богов	алтырь славянских богов	QG_549ac35dbd84	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
аметист даждьбог	аметист даждьбог	QG_e6fe53af1088	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амлеты	амлеты	QG_031d317c8387	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет	амулет	QG_54d0b2dd264f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет - подвеска на зеркало в машину	амулет - подвеска на зеркало в машину	QG_18e07f4bd6fc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет близнецы в машин	амулет близнецы в машин	QG_99b29b99e2c7	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет близнецы в машину подвеска	амулет близнецы в машину подвеска	QG_91d3cb598eed	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет бога	амулет бога	QG_2d0b9dd606aa	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет бога перун	амулет бога перун	QG_6bbf28e7a947	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет бусина	амулет бусина	QG_596b96dd86df	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в автомобиль	амулет в автомобиль	QG_108495d4dea2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в автомобиль на зеркало	амулет в автомобиль на зеркало	QG_922e617053b3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину	амулет в машину	QG_04e47b70203f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину женский зеркальная	амулет в машину женский зеркальная	QG_54104bad8a70	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину мусульманский	амулет в машину мусульманский	QG_5ab8579a408a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину мусульманский подвеска мужская	амулет в машину мусульманский подвеска мужская	QG_7f51a4092f3c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину на зеркало	амулет в машину на зеркало	QG_21802a9e47d1	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину на зеркало мужской	амулет в машину на зеркало мужской	QG_48da3d48c639	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину на зеркало с горного алтая	амулет в машину на зеркало с горного алтая	QG_672795fa6b22	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину от сглаза	амулет в машину от сглаза	QG_ad1699655d2e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину славянский	амулет в машину славянский	QG_d5e55eac4d80	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет в машину славянский на зеркало	амулет в машину славянский на зеркало	QG_97ec1468c8cd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет велеса браслет	амулет велеса браслет	QG_9aeed50cc535	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет весы	амулет весы	QG_17e29195689f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет глаз подвеска в машину	амулет глаз подвеска в машину	QG_d38b67a7273f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет деревянный	амулет деревянный	QG_df46c95e573d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для автомобиля	амулет для автомобиля	QG_e551a7979af0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для автомобиля в машину на зеркало	амулет для автомобиля в машину на зеркало	QG_8ff5a6731a24	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для защиты	амулет для защиты	QG_a306ac41861c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для львп	амулет для львп	QG_23c441a2043b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для магии черной	амулет для магии черной	QG_c703bfba579b	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для машины подвеска	амулет для машины подвеска	QG_9259099e4b5d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для мужчины тельца	амулет для мужчины тельца	QG_8e1d5ce31fa2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для овна мужской	амулет для овна мужской	QG_402396f63256	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет для тельца мужской в авто	амулет для тельца мужской в авто	QG_15c87349d6f8	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет доч знака зодиака змееносец	амулет доч знака зодиака змееносец	QG_9b90626fa9b4	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет з	амулет з	QG_ccb0ea499756	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зведа	амулет зведа	QG_94c2b4f07e26	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет звезда лады	амулет звезда лады	QG_04b58a72ad3f	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет звезда руси	амулет звезда руси	QG_26311bee352d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркало	амулет зеркало	QG_812c8afccd83	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркало защиты для мужчин	амулет зеркало защиты для мужчин	QG_b0ef38b02f90	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркало магическое	амулет зеркало магическое	QG_07f4f19037f6	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркало мужской	амулет зеркало мужской	QG_a89d9c24f17c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркало оберег	амулет зеркало оберег	QG_62858053e11d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркальная защита	амулет зеркальная защита	QG_8d1c2a96d630	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет зеркальный	амулет зеркальный	QG_da5a45e2a86a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет знак велеса серебро	амулет знак велеса серебро	QG_94eb07c8000d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет из дерева	амулет из дерева	QG_bc8e499788c2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет иньян для мужчин	амулет иньян для мужчин	QG_90369779aeda	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет кали богиня	амулет кали богиня	QG_94eb01081881	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет козерог и клевер	амулет козерог и клевер	QG_a24fed8b9f75	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет крес славян	амулет крес славян	QG_82a7368c2294	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет кулон-зеркало	амулет кулон - зеркало	QG_cfeb20df8083	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет медведь на веревке	амулет медведь на веревке	QG_2c8ad6e99bd5	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет молот перуна	амулет молот перуна	QG_1ff5d36f943e	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет мужской в машину	амулет мужской в машину	QG_8b2ab1392552	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет мужской в машину деревянный	амулет мужской в машину деревянный	QG_dafb9be44ece	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет мужской деревянный	амулет мужской деревянный	QG_55c62ec1a7cb	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет мужской мусульманский	амулет мужской мусульманский	QG_1943c96ed10a	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет мужской на зеркало щаднего вида	амулет мужской на зеркало щаднего вида	QG_8ecdfa093144	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет мужской на шею скорпион	амулет мужской на шею скорпион	QG_4ace1f92b47c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на брелок в машину	амулет на брелок в машину	QG_68c4e17df90d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на зеркало автомобиля	амулет на зеркало автомобиля	QG_6a711b778257	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на зеркало в машину	амулет на зеркало в машину	QG_3108a639bd36	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на зеркало оберег в машину	амулет на зеркало оберег в машину	QG_b5176e14e5e0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на любовь	амулет на любовь	QG_6067b6cdfab0	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на машину на зеркало мужской	амулет на машину на зеркало мужской	QG_aaef0ce04b44	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на удачу в машину	амулет на удачу в машину	QG_2b598113351d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на удачу славянский	амулет на удачу славянский	QG_f040b8147273	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на шею зеркало	амулет на шею зеркало	QG_b8c7faadf1f3	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на шею мужской славянский оберег	амулет на шею мужской славянский оберег	QG_f58bc31e1dc2	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет на шею славянский	амулет на шею славянский	QG_c044ec356034	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет оберег	амулет оберег	QG_2e4c06feb898	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет оберег бык	амулет оберег бык	QG_503149665d10	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет от сглаза	амулет от сглаза	QG_3a2078ae0bcd	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет от сглаза брелок в машину на зеркало	амулет от сглаза брелок в машину на зеркало	QG_d169b94e0cdc	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет от сглаза в автомобиль	амулет от сглаза в автомобиль	QG_dc0dc71d7f50	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет от сглаза в машину	амулет от сглаза в машину	QG_5a9fb7f74c01	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет от сглаза в машину на зеркало	амулет от сглаза в машину на зеркало	QG_a8a1740e8d4c	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет подвеска грифон	амулет подвеска грифон	QG_6d69122bd8f9	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
амулет подвеска кришна	амулет подвеска кришна	QG_029e5a934e4d	NONE	Conservative Unicode/case/whitespace/punctuation normalization only.
