schema_version,marketplace,marketplace_product_id,marketplace_sku,observed_identity_name,product_family,opportunity_id,relation_type,evidence_mode,mapping_status,relation_reason,current_identity_status,ordered_units_90d_historical,current_identity_ref,relation_evidence_ref
1.0,ozon,1106060257,1623753672,Древо Жизни,universal_symbols,,,DERIVED,NO_ACCEPTED_R3_RELATION,"Current listing identity is real, but no accepted R3 OU01–OU10 relation is directly supported by current Stage 06 evidence.",FRESH_EXACT_20260826,19,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/research/R3_OPPORTUNITY_MAP_FINAL_2026-08-26.md
1.0,ozon,1112665646,1629493686,Ом (санскр. ॐ) или Аум,universal_symbols,,,DERIVED,NO_ACCEPTED_R3_RELATION,"Current listing identity is real, but no accepted R3 OU01–OU10 relation is directly supported by current Stage 06 evidence.",FRESH_EXACT_20260826,3,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/research/R3_OPPORTUNITY_MAP_FINAL_2026-08-26.md
1.0,ozon,1112723580,1629553898,Инь и Ян,universal_symbols,,,DERIVED,NO_ACCEPTED_R3_RELATION,"Current listing identity is real, but no accepted R3 OU01–OU10 relation is directly supported by current Stage 06 evidence.",FRESH_EXACT_20260826,5,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/research/R3_OPPORTUNITY_MAP_FINAL_2026-08-26.md
1.0,ozon,1113280875,1630033296,"""Белобог""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,6,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1113288401,1630040194,Чернобог,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,12,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1119957837,1636041142,"""Велес""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,48,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1119957837,1636041142,"""Велес""",slavic_symbols_oberegs,OU06,DIRECT_NAMED_SYMBOL,DERIVED,MAPPED,Current seller identity is explicitly Велес and remains separate from Печать Велеса; R3 keeps OU06 broader Veles lane distinct.,FRESH_EXACT_20260826,48,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1119957837,1636041142,"""Велес""",slavic_symbols_oberegs,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,48,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1119957837,1636041142,"""Велес""",slavic_symbols_oberegs,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,48,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1119965443,1636048691,Печать Велеса,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,385,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1119965443,1636048691,Печать Велеса,slavic_symbols_oberegs,OU02,DIRECT_NAMED_SYMBOL,DERIVED,MAPPED,Current seller identity is explicitly Печать Велеса; R3 keeps OU02 specific to Печать Велеса.,FRESH_EXACT_20260826,385,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1119965443,1636048691,Печать Велеса,slavic_symbols_oberegs,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,385,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1119965443,1636048691,Печать Велеса,slavic_symbols_oberegs,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,385,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1124658338,1640251697,Алатырь (Крест Сварога),slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124658338,1640251697,Алатырь (Крест Сварога),slavic_symbols_oberegs,OU05,DIRECT_NAMED_SYMBOL,DERIVED,MAPPED,Current seller identity explicitly names Алатырь (Крест Сварога).,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/raw/marketplace/ozon/20260826T1102Z__ozon__stocks-current__fresh-page1.md
1.0,ozon,1124658338,1640251697,Алатырь (Крест Сварога),slavic_symbols_oberegs,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1124658338,1640251697,Алатырь (Крест Сварога),slavic_symbols_oberegs,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,84,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1124673031,1640264403,Триглав,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,17,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124691132,1640276582,Ратиборец,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,10,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124725450,1640306007,Молвинец,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,21,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124733734,1640326205,Колядник,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,67,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124751825,1640326230,Знич,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,3,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124755617,1640330072,Громовик,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,29,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124761013,1640334195,Всеславец,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,2,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1124764995,1640337426,Боговник,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,6,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217110817,1720124782,"Знак зодиака ""Стрелец""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,13,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217117569,1720131759,"Знак зодиака ""Близнецы""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,21,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217117569,1720131759,"Знак зодиака ""Близнецы""",zodiac_classic,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,21,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1217117569,1720131759,"Знак зодиака ""Близнецы""",zodiac_classic,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,21,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1217124642,1720137256,"Знак зодиака ""Весы""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,13,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217129635,1720141903,"Знак зодиака ""Водолей""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,14,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217132021,1720144370,"Знак зодиака ""Дева""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,14,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217135724,1720147059,"Знак зодиака ""Козерог""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,16,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217137863,1720148880,"Знак зодиака ""Овен""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,32,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217137863,1720148880,"Знак зодиака ""Овен""",zodiac_classic,OU03,USE_CASE_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly frames this same stable product_id/SKU as an amulet/talisman for car,FRESH_EXACT_20260826,32,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1217137863,1720148880,"Знак зодиака ""Овен""",zodiac_classic,OU04,FORM_FACTOR_FIT,DERIVED,MAPPED_HISTORICAL_LISTING_TITLE,Historical directly observed seller listing title explicitly says “Подвеска на зеркало в машину” for this same stable product_id/SKU.,FRESH_EXACT_20260826,32,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/products/20260826__provisional_priority_sku_opportunity_map.csv
1.0,ozon,1217141020,1720151850,"Знак зодиака ""Лев""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,10,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217143121,1720153914,"Знак зодиака ""Рак""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,15,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217145315,1720155616,"Знак зодиака ""Рыбы""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,1,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217150153,1720160556,"Знак зодиака ""Скорпион""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,16,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1217152166,1720161841,"Знак зодиака ""Телец""",zodiac_classic,OU09,REOPEN_TEST,DERIVED,REOPEN_TEST,Current identity belongs to one of three coherent seller zodiac variant families; map only as the Stage 06 OU09 reopen test not as a primary acquisition opportunity.,FRESH_EXACT_20260826,6,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1366092977,1842444165,Оберег Родимич,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,13,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1498533114,1943215793,Молитва Иоанн Златоуст,orthodox_christian,,,DERIVED,NO_ACCEPTED_R3_RELATION,"Current listing identity is real, but no accepted R3 OU01–OU10 relation is directly supported by current Stage 06 evidence.",FRESH_EXACT_20260826,6,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/research/R3_OPPORTUNITY_MAP_FINAL_2026-08-26.md
1.0,ozon,1830964558,2183808182,Жива,slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,7,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831102037,2183921966,"""Сварог""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,34,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831181558,2183985513,"""Перун""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,20,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831327502,2184098058,"""Стрибог""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,4,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831377069,2184133137,"""Макошь""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,4,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831403746,2184153852,"""Семаргл""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,9,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831422362,2184168890,"""Хорс""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,2,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831464047,2184199958,"""Мара""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,28,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
1.0,ozon,1831506538,2184234912,"""Звезда Лады""",slavic_symbols_oberegs,OU01,CATEGORY_MEMBER,DERIVED,MAPPED,Fresh identity is exact-continuity with the accepted Slavic-symbol research-family classification; OU01 is the broad Slavic category lane.,FRESH_EXACT_20260826,30,marketing/data/normalized/marketplace/ozon/20260826__ozon__product-master__fresh-current76.csv,marketing/data/normalized/marketplace/ozon/20260812__ozon__product-master__current76.csv
